PIR Sensor Frequency,ulrasonic1,ulrasonic2,microphone1,microphone2,microphone3,microphone4,microphone5,Turbidity,Obstacle
511.24,421.73,419.84,10026.39,-157.38,150.54,153.0,9775.17,10.0,Mine
511.24,421.71,419.84,9956.99,10026.39,151.52,153.0,9775.17,10.0,Mine
511.24,421.84,419.96,9918.87,10021.51,150.54,153.0,9775.17,38.0,Mine
511.24,421.84,419.95,9933.53,10049.85,150.54,154.0,9775.17,19.0,Mine
511.24,421.71,419.82,9935.48,7.15,151.52,154.0,9775.17,18.0,Mine
511.24,421.73,419.84,9928.64,9991.2,150.54,154.0,9775.1718,,
511.24,421.84,419.95,9911.05,9996.09,150.54,153.0,9775.17,18.0,Mine
511.24,421.78,419.98,9918.87,10043.01,151.52,154.0,9775.17,25.0,Mine
511.24,421.78,419.96,9938.42,10040.08,150.54,154.0,9775.17,19.0,Mine
511.24,421.73,419.86,9929.62,9992.18,150.54,153.0,9775.17,19.0,Mine
511.24,421.73,419.84,9912.02,9995.11,150.54,153.0,9775.17,18.0,Mine
511.24,421.84,419.96,9915.93,10047.9,151.52,152.0,9775.17,26.0,Mine
511.24,421.75,419.84,9931.57,9.1,153.47,155.0,9808.41,27.0,Mine
511.24,421.7,419.84,9942.33,10000.0,153.47,155.0,9808.41,28.0,Mine
511.24,421.75,420.0,9928.64,9995.11,153.47,155.0,9807.43,28.0,Mine
511.24,421.85,419.95,9930.6,10048.88,154.45,155.0,9810.36,29.0,Mine
511.24,421.75,419.88,9948.19,10043.01,154.45,156.0,9810.36,29.0,Mine
511.24,421.71,419.84,9946.24,9998.04,154.45,155.0,9810.36,28.0,Mine
511.24,421.8,419.96,9930.6,9987.29,154.45,155.0,9811.34,28.0,Mine
511.24,421.85,419.95,9927.66,9.1,154.45,156.0,9812.32,28.0,Mine
511.24,421.73,419.84,9947.21,10045.94,154.45,155.0,9811.34,29.0,Mine
511.24,421.7,419.82,9950.15,1.28,154.45,155.0,9811.34,29.0,Mine
511.24,421.85,419.95,9933.53,9986.31,154.45,156.0,9810.36,13.0,Mine
511.24,421.73,419.95,9926.69,10022.48,153.47,156.0,9811.34,14.0,Mine
511.24,421.75,419.86,9941.35,10044.97,153.47,156.0,9811.34,14.0,Mine
511.24,421.7,419.95,9947.21,4.21,152.49,154.0,511.24,15.0,Mine
511.24,421.75,419.88,138.81,135.87,151.52,155.0,232.65,26.0,Mine
511.24,421.71,419.86,142.72,110.46,152.49,154.0,170.09,26.0,Mine
511.24,421.84,419.98,-12.71,-9.78,152.49,154.0,20.53,27.0,Mine
511.24,421.84,419.96,24.44,-7.82,152.49,154.0,80.16,27.0,Mine
511.24,421.84,419.96,15.64,15.64,152.49,154.0,63.54,27.0,Mine
