511.24,421.73,419.88,385.14,303.03,152.49,155,504.4,12,Negative
511.24,421.73,419.84,387.1,304.01,152.49,155,503.42,13,Negative
511.24,421.68,419.91,334.31,215.05,152.49,154,503.42,14,Negative
511.24,421.84,419.98,368.52,259.04,151.52,155,503.42,15,Negative
511.24,421.68,419.82,375.37,280.55,152.49,154,504.4,16,Negative
511.24,421.7,419.81,372.43,257.09,152.49,155,504.4,17,Negative
511.24,421.7,419.93,362.66,261.97,152.49,155,503.42,18,Negative
511.24,421.8,419.93,368.52,295.21,152.49,154,504.4,19,Negative
511.24,421.7,419.82,386.12,313.78,151.52,155,503.42,20,Negative
511.24,421.68,419.82,384.16,309.87,152.49,154,502.44,1,Negative
511.24,421.82,419.96,367.55,265.88,152.49,154,504.4,2,Negative
511.24,421.82,419.96,363.64,270.77,152.49,154,503.42,3,Negative
511.24,421.71,419.81,376.34,304.99,151.52,155,503.42,4,Negative
511.24,421.78,419.95,367.55,-145.65,152.49,154,504.4,5,Negative
511.24,421.8,419.96,365.59,511.24,151.52,154,503.42,6,Negative
511.24,421.8,419.96,381.23,511.24,151.52,155,503.42,7,Negative
511.24,421.68,419.86,382.21,511.24,151.52,155,503.42,8,Negative
511.24,421.7,419.95,368.52,511.24,152.49,154,504.4,9,Negative
511.24,421.82,419.98,387.1,511.24,152.49,154,504.4,10,Negative
511.24,421.7,419.82,393.94,511.24,152.49,154,504.4,11,Negative
511.24,421.73,419.89,384.16,511.24,151.52,155,504.4,12,Negative
511.24,421.84,419.98,369.5,511.24,151.52,154,504.4,13,Negative
511.24,421.75,419.88,329.42,511.24,152.49,154,503.42,14,Negative
511.24,421.84,419.98,349.95,511.24,152.49,154,503.42,15,Negative
511.24,421.68,419.88,368.52,511.24,152.49,155,503.42,16,Negative
511.24,421.68,419.88,393.94,511.24,151.52,155,504.4,17,Negative
511.24,421.75,419.95,394.92,511.24,152.49,155,503.42,18,Negative
511.24,421.84,419.96,375.37,510.26,152.49,154,504.4,19,Negative
10776.15,422.76,419.98,-186.71,508.31,247.31,242,511.24,18,Mine
10776.15,422.66,419.96,137.83,508.31,246.33,241,510.26,19,Mine
10776.15,422.61,419.82,271.75,476.05,155.43,156,510.26,8,Mine
10776.15,422.71,419.95,176.93,28.33,154.45,156,509.29,2,Mine
10776.15,422.71,419.95,293.26,508.31,155.43,157,510.26,6,Mine
511.24,421.66,419.96,345.06,9805.47,155.43,156,510.26,25,Mine
10776.15,422.64,419.86,366.57,347.02,153.47,155,509.29,15,Mine
10776.15,422.64,419.84,348.97,303.03,153.47,155,510.26,11,Mine
10776.15,422.73,419.96,329.42,-97.75,153.47,155,509.29,13,Mine
10776.15,422.63,419.95,383.19,130.99,153.47,155,510.26,4,Mine
511.24,421.85,419.96,371.46,274.68,153.47,155,510.26,25,Mine
511.24,421.7,419.96,381.23,298.14,153.47,155,510.26,27,Mine
10776.15,422.66,419.96,371.46,308.9,153.47,155,509.29,8,Mine
10776.15,422.66,419.89,351.91,272.73,153.47,155,509.29,8,Mine
10776.15,422.64,419.86,351.91,265.88,153.47,155,510.26,2,Mine
10776.15,422.75,419.95,366.57,289.35,153.47,155,510.26,28,Mine
