PIR Sensor Frequency,ulrasonic1,ulrasonic2,microphone1,microphone2,microphone3,microphone4,microphone5,metaldetector,Obstacle
511.24,421.82,419.96,367.55,284.46,152.49,154,502.44,574,Negative
511.24,421.7,419.86,388.07,304.01,151.52,154,503.42,542,Negative
511.24,421.7,419.84,388.07,285.44,152.49,154,503.42,539,Negative
511.24,421.84,419.95,367.55,265.88,151.52,155,504.4,513,Negative
511.24,421.73,419.84,371.46,302.05,151.52,155,504.4,570,Negative
511.24,421.73,419.88,388.07,306.94,151.52,155,503.42,598,Negative
511.24,421.84,419.95,388.07,275.66,152.49,154,503.42,525,Negative
511.24,421.68,419.84,345.06,9955.03,154.45,157,503.42,529,Mine
511.24,421.84,419.98,365.59,9956.99,154.45,157,502.44,513,Mine
511.24,421.8,419.95,345.06,9956.01,154.45,157,503.42,589,Mine
511.24,421.73,419.84,366.57,9956.99,154.45,156,503.42,583,Mine
511.24,421.7,419.86,342.13,9956.99,154.45,157,503.42,539,Mine
511.24,421.8,419.96,365.59,9956.01,154.45,157,502.44,582,Mine
511.24,421.75,419.96,341.15,9956.01,154.45,158,503.42,556,Mine
511.24,421.75,419.84,356.79,9979.47,152.49,155,504.4,502,Mine
511.24,421.73,419.86,336.27,10013.69,151.52,154,503.42,560,Mine
511.24,421.84,419.96,367.55,-144.67,151.52,154,503.42,596,Negative
511.24,421.73,419.86,376.34,387.1,152.49,154,503.42,550,Negative
511.24,421.7,419.82,378.3,460.41,152.49,155,503.42,566,Negative
511.24,421.84,419.95,389.05,384.16,152.49,155,503.42,538,Negative
511.24,421.73,419.96,374.39,104.59,152.49,154,503.42,586,Negative
511.24,421.7,419.82,341.15,-113.39,151.52,154,504.4,556,Negative
511.24,421.75,419.95,377.32,80.16,152.49,155,504.4,1085,Mine
511.24,421.82,419.95,347.02,151.52,152.49,154,504.4,523,Negative
511.24,421.75,419.96,374.39,210.17,151.52,155,503.42,580,Negative
511.24,421.73,419.86,379.28,212.12,151.52,155,503.42,504,Negative
511.24,421.73,419.98,362.66,231.67,151.52,155,503.42,559,Negative
511.24,421.8,419.98,370.48,277.61,152.49,154,503.42,578,Negative
511.24,421.7,419.86,380.25,281.52,151.52,154,503.42,567,Negative
511.24,421.73,419.86,375.37,250.24,152.49,155,504.4,525,Negative
511.24,421.85,419.96,364.61,266.86,152.49,155,504.4,509,Negative
511.24,421.75,419.86,383.19,299.12,152.49,155,504.4,505,Negative
511.24,421.7,419.86,385.14,293.26,152.49,155,503.42,589,Negative
511.24,421.8,419.98,382.21,299.12,152.49,155,503.42,502,Negative
511.24,421.8,419.95,370.48,263.93,152.49,154,503.42,591,Negative
511.24,421.68,419.88,363.64,282.5,152.49,154,503.42,552,Negative
511.24,421.73,419.88,383.19,304.99,151.52,154,504.4,553,Negative
511.24,421.78,419.96,384.16,289.35,152.49,155,503.42,581,Negative
511.24,421.68,419.86,387.1,295.21,152.49,154,504.4,543,Negative
511.24,421.7,419.86,367.55,268.82,152.49,155,503.42,529,Negative
511.24,421.8,419.96,369.5,305.96,152.49,155,504.4,528,Negative
511.24,421.73,419.86,387.1,310.85,152.49,154,504.4,594,Negative
511.24,421.71,419.82,386.12,282.5,152.49,155,504.4,1052,Mine
511.24,421.73,419.84,372.43,301.08,152.49,154,504.4,580,Negative
511.24,421.82,419.96,364.61,264.91,152.49,154,504.4,516,Negative
511.24,421.73,419.84,364.61,289.35,152.49,155,503.42,569,Negative
511.24,421.73,419.82,385.14,309.87,152.49,154,503.42,523,Negative
511.24,421.84,419.96,386.12,293.26,151.52,154,503.42,508,Negative
511.24,421.82,419.98,366.57,271.75,152.49,154,504.4,516,Negative
511.24,421.7,419.82,370.48,306.94,151.52,155,504.4,530,Negative
511.24,421.73,419.84,387.1,309.87,152.49,155,503.42,1037,Mine
511.24,421.84,419.96,365.59,300.1,152.49,155,503.42,555,Negative
511.24,421.77,419.95,376.34,292.28,151.52,154,503.42,523,Negative
511.24,421.68,419.86,364.61,262.95,152.49,155,503.42,558,Negative
511.24,421.71,419.84,366.57,297.17,152.49,155,504.4,592,Negative
511.24,421.84,419.96,386.12,309.87,152.49,155,504.4,589,Negative
511.24,421.68,419.86,386.12,285.44,152.49,155,503.42,581,Negative
511.24,421.73,419.84,367.55,272.73,152.49,154,503.42,549,Negative
511.24,421.82,419.95,372.43,310.85,152.49,154,503.42,577,Negative
511.24,421.8,419.96,388.07,309.87,152.49,154,503.42,1045,Mine
511.24,421.73,419.84,366.57,302.05,151.52,155,503.42,591,Negative
511.24,421.68,419.84,377.32,289.35,152.49,154,503.42,1004,Mine
511.24,421.7,419.93,365.59,301.08,152.49,154,503.42,583,Negative
511.24,421.8,419.96,369.5,264.91,152.49,154,503.42,557,Negative
511.24,421.7,419.84,361.68,279.57,152.49,154,503.42,502,Negative
511.24,421.7,419.84,382.21,309.87,152.49,154,503.42,574,Negative
511.24,421.84,419.95,385.14,302.05,152.49,155,503.42,516,Negative
511.24,421.73,419.96,370.48,273.7,152.49,154,503.42,534,Negative
511.24,421.73,419.84,367.55,296.19,153.47,155,504.4,507,Negative
511.24,421.73,419.96,386.12,324.54,152.49,155,504.4,501,Negative
511.24,421.8,419.98,-16.62,120.23,151.52,155,504.4,587,Negative
511.24,421.73,419.88,214.08,146.63,152.49,154,502.44,1079,Mine
511.24,421.71,419.84,291.3,158.36,152.49,155,504.4,528,Negative
511.24,421.68,419.95,323.56,216.03,152.49,155,503.42,542,Negative
511.24,421.84,419.96,364.61,268.82,151.52,155,502.44,578,Negative
511.24,421.7,419.84,375.37,270.77,151.52,155,503.42,530,Negative
511.24,421.73,419.88,360.7,258.06,152.49,155,504.4,542,Negative
511.24,421.84,419.96,366.57,298.14,152.49,154,503.42,544,Negative
